label,gdp_growth,quarter
1997 Q2,1.2,1
1997 Q3,0.6,2
1997 Q3,0.6,2
1997 Q3,0.6,2
1997 Q4,1.3,3
1997 Q4,1.3,3
1997 Q4,1.3,3
1998 Q1,0.6,4
1998 Q1,0.6,4
1998 Q1,0.6,4
1998 Q2,0.6,5
1998 Q2,0.6,5
1998 Q2,0.6,5
1998 Q3,0.7,6
1998 Q3,0.7,6
1998 Q3,0.7,6
1998 Q4,1,7
1998 Q4,1,7
1998 Q4,1,7
1999 Q1,0.7,8
1999 Q1,0.7,8
1999 Q1,0.7,8
1999 Q2,0.1,9
1999 Q2,0.1,9
1999 Q2,0.1,9
1999 Q3,1.8,10
1999 Q3,1.8,10
1999 Q3,1.8,10
1999 Q4,1.4,11
1999 Q4,1.4,11
1999 Q4,1.4,11
2000 Q1,1,12
2000 Q1,1,12
2000 Q1,1,12
2000 Q2,0.7,13
2000 Q2,0.7,13
2000 Q2,0.7,13
2000 Q3,0.3,14
2000 Q3,0.3,14
2000 Q3,0.3,14
2000 Q4,0.2,15
2000 Q4,0.2,15
2000 Q4,0.2,15
2001 Q1,1.3,16
2001 Q1,1.3,16
2001 Q1,1.3,16
2001 Q2,0.7,17
2001 Q2,0.7,17
2001 Q2,0.7,17
2001 Q3,0.7,18
2001 Q3,0.7,18
2001 Q3,0.7,18
2001 Q4,0.4,19
2001 Q4,0.4,19
2001 Q4,0.4,19
2002 Q1,0.4,20
2002 Q1,0.4,20
2002 Q1,0.4,20
2002 Q2,0.7,21
2002 Q2,0.7,21
2002 Q2,0.7,21
2002 Q3,0.8,22
2002 Q3,0.8,22
2002 Q3,0.8,22
2002 Q4,0.9,23
2002 Q4,0.9,23
2002 Q4,0.9,23
2003 Q1,0.8,24
2003 Q1,0.8,24
2003 Q1,0.8,24
2003 Q2,0.9,25
2003 Q2,0.9,25
2003 Q2,0.9,25
2003 Q3,1,26
2003 Q3,1,26
2003 Q3,1,26
2003 Q4,0.8,27
2003 Q4,0.8,27
2003 Q4,0.8,27
2004 Q1,0.6,28
2004 Q1,0.6,28
2004 Q1,0.6,28
2004 Q2,0.5,29
2004 Q2,0.5,29
2004 Q2,0.5,29
2004 Q3,0.2,30
2004 Q3,0.2,30
2004 Q3,0.2,30
2004 Q4,0.6,31
2004 Q4,0.6,31
2004 Q4,0.6,31
2005 Q1,0.6,32
2005 Q1,0.6,32
2005 Q1,0.6,32
2005 Q2,1.1,33
2005 Q2,1.1,33
2005 Q2,1.1,33
2005 Q3,1.1,34
2005 Q3,1.1,34
2005 Q3,1.1,34
2005 Q4,1.4,35
2005 Q4,1.4,35
2005 Q4,1.4,35
2006 Q1,0.3,36
2006 Q1,0.3,36
2006 Q1,0.3,36
2006 Q2,0.2,37
2006 Q2,0.2,37
2006 Q2,0.2,37
2006 Q3,0.1,38
2006 Q3,0.1,38
2006 Q3,0.1,38
2006 Q4,0.4,39
2006 Q4,0.4,39
2006 Q4,0.4,39
2007 Q1,1,40
2007 Q1,1,40
2007 Q1,1,40
2007 Q2,0.7,41
2007 Q2,0.7,41
2007 Q2,0.7,41
2007 Q3,0.8,42
2007 Q3,0.8,42
2007 Q3,0.8,42
2007 Q4,0.8,43
2007 Q4,0.8,43
2007 Q4,0.8,43
2008 Q1,0.1,44
2008 Q1,0.1,44
2008 Q1,0.1,44
2008 Q2,-0.7,45
2008 Q2,-0.7,45
2008 Q2,-0.7,45
2008 Q3,-1.7,46
2008 Q3,-1.7,46
2008 Q3,-1.7,46
2008 Q4,-2.3,47
2008 Q4,-2.3,47
2008 Q4,-2.3,47
2009 Q1,-1.6,48
2009 Q1,-1.6,48
2009 Q1,-1.6,48
2009 Q2,-0.2,49
2009 Q2,-0.2,49
2009 Q2,-0.2,49
2009 Q3,0.1,50
2009 Q3,0.1,50
2009 Q3,0.1,50
2009 Q4,0.4,51
2009 Q4,0.4,51
2009 Q4,0.4,51
2010 Q1,0.5,52
2010 Q1,0.5,52
2010 Q1,0.5,52
2010 Q2,1,53
2010 Q2,1,53
2010 Q2,1,53
2010 Q3,0.6,54
2010 Q3,0.6,54
2010 Q3,0.6,54
2010 Q4,0.1,55
2010 Q4,0.1,55
2010 Q4,0.1,55
2011 Q1,0.6,56
2011 Q1,0.6,56
2011 Q1,0.6,56
2011 Q2,0.1,57
2011 Q2,0.1,57
2011 Q2,0.1,57
2011 Q3,0.4,58
2011 Q3,0.4,58
2011 Q3,0.4,58
2011 Q4,0.2,59
2011 Q4,0.2,59
2011 Q4,0.2,59
2012 Q1,0.4,60
2012 Q1,0.4,60
2012 Q1,0.4,60
2012 Q2,-0.1,61
2012 Q2,-0.1,61
2012 Q2,-0.1,61
2012 Q3,1.1,62
2012 Q3,1.1,62
2012 Q3,1.1,62
2012 Q4,-0.2,63
2012 Q4,-0.2,63
2012 Q4,-0.2,63
2013 Q1,0.6,64
2013 Q1,0.6,64
2013 Q1,0.6,64
2013 Q2,0.5,65
2013 Q2,0.5,65
2013 Q2,0.5,65
2013 Q3,0.8,66
2013 Q3,0.8,66
2013 Q3,0.8,66
2013 Q4,0.5,67
2013 Q4,0.5,67
2013 Q4,0.5,67
2014 Q1,0.8,68
2014 Q1,0.8,68
2014 Q1,0.8,68
2014 Q2,0.9,69
2014 Q2,0.9,69
2014 Q2,0.9,69
2014 Q3,0.8,70
2014 Q3,0.8,70
2014 Q3,0.8,70
2014 Q4,0.8,71
